Study Name	Tungsten_Calibration
Sample Name	09-03-2025
Run Name	spot01
Operator	Alicia
Date	9/3/2025
Time	11:53
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:53:45 AM
	
Time	Amplitude
3.840000E-8	-3.937013E-5
3.845000E-8	-5.532551E-4
3.850000E-8	-1.026029E-3
3.855000E-8	-1.461119E-3
3.860000E-8	-1.839681E-3
3.865000E-8	-2.127456E-3
3.870000E-8	-2.324446E-3
3.875000E-8	-2.444352E-3
3.880000E-8	-2.478611E-3
3.885000E-8	-2.404954E-3
3.890000E-8	-2.230233E-3
3.895000E-8	-1.951022E-3
3.900000E-8	-1.581025E-3
3.905000E-8	-1.125380E-3
3.910000E-8	-6.132084E-4
3.915000E-8	-8.561978E-5
3.920000E-8	4.282652E-4
3.925000E-8	9.147430E-4
3.930000E-8	1.351545E-3
3.935000E-8	1.692422E-3
3.940000E-8	1.915106E-3
3.945000E-8	2.007605E-3
3.950000E-8	1.952791E-3
3.955000E-8	1.754089E-3
3.960000E-8	1.442332E-3
3.965000E-8	1.041501E-3
3.970000E-8	5.738660E-4
3.975000E-8	8.053637E-5
3.980000E-8	-4.059414E-4
3.985000E-8	-8.735768E-4
3.990000E-8	-1.279546E-3
3.995000E-8	-1.598155E-3
4.000000E-8	-1.831116E-3
4.005000E-8	-1.957874E-3
4.010000E-8	-1.961300E-3
